Bronze defender.png,Bronze defender
Rune kiteshield (Misthalin).png,Rune kiteshield (Misthalin)
Rune kiteshield (Money).png,Rune kiteshield (Money)
Rune kiteshield (Saradomin).png,Rune kiteshield (Saradomin)
Rune kiteshield (Skull).png,Rune kiteshield (Skull)
Rune kiteshield (Varrock).png,Rune kiteshield (Varrock)
Rune kiteshield (Zamorak).png,Rune kiteshield (Zamorak)
Wooden shield (g).png,Wooden shield (g)
Steel kiteshield (t).png,Steel kiteshield (t)
Steel kiteshield (g).png,Steel kiteshield (g)
Cabbage round shield.png,Cabbage round shield
Gilded sq shield.png,Gilded sq shield
Dragon defender (t).png,Dragon defender (t)
Corrupted kiteshield.png,Corrupted kiteshield
Magic shield.png,Magic shield
Ancient wyvern shield (uncharged).png,Ancient wyvern shield
Runefest shield.png,Runefest shield
Broodoo shield (blue).png,Broodoo shield (blue)
Broodoo shield (orange).png,Broodoo shield (orange)
Broodoo shield (green).png,Broodoo shield (green)
Dragonfire ward (uncharged).png,Dragonfire ward
Adamant kiteshield (Asgarnia).png,Adamant kiteshield (Asgarnia)
Adamant kiteshield (Dorgeshuun).png,Adamant kiteshield (Dorgeshuun)
Adamant kiteshield (Dragon).png,Adamant kiteshield (Dragon)
Adamant kiteshield (Fairy).png,Adamant kiteshield (Fairy)
Adamant kiteshield (Guthix).png,Adamant kiteshield (Guthix)
Adamant kiteshield (Saradomin).png,Adamant kiteshield (Saradomin)
Adamant kiteshield (Zamorak).png,Adamant kiteshield (Zamorak)
Adamant kiteshield (HAM).png,Adamant kiteshield (HAM)
Adamant kiteshield (Horse).png,Adamant kiteshield (Horse)
Adamant kiteshield (Jogre).png,Adamant kiteshield (Jogre)
Adamant kiteshield (Kandarin).png,Adamant kiteshield (Kandarin)
Adamant kiteshield (Misthalin).png,Adamant kiteshield (Misthalin)
Adamant kiteshield (Money).png,Adamant kiteshield (Money)
Adamant kiteshield (Skull).png,Adamant kiteshield (Skull)
Adamant kiteshield (Varrock).png,Adamant kiteshield (Varrock)
Dragon kiteshield (g).png,Dragon kiteshield (g)
Oak shield.png,Oak shield
Maple shield.png,Maple shield
Yew shield.png,Yew shield
Redwood shield.png,Redwood shield
Hard leather shield.png,Hard leather shield
Snakeskin shield.png,Snakeskin shield
Green d'hide shield.png,Green d'hide shield
Blue d'hide shield.png,Blue d'hide shield
Red d'hide shield.png,Red d'hide shield
Black d'hide shield.png,Black d'hide shield
Avernic defender.png,Avernic defender
Chicken (Recruitment Drive).png,Chicken (Recruitment Drive)
Crystal shield.png,Crystal shield (i)
Twisted buckler.png,Twisted buckler
Book of darkness.png,Book of darkness
Adamant kiteshield (t).png,Adamant kiteshield (t)
Adamant sq shield.png,Adamant sq shield
Adamant shield (h5).png,Adamant shield (h5)
Black shield (h5).png,Black shield (h5)
Bandos kiteshield.png,Bandos kiteshield
Book of law.png,Book of law
Damaged book (Ancient).png,Damaged book (Ancient)
Tome of fire (empty).png,Tome of fire
Adamant kiteshield (Arrav).png,Adamant kiteshield (Arrav)
Bronze sq shield.png,Bronze sq shield
Kharedst's memoirs.png,Kharedst's memoirs
Guthix d'hide shield.png,Guthix d'hide shield
Saradomin d'hide shield.png,Saradomin d'hide shield
Zamorak d'hide shield.png,Zamorak d'hide shield
Ancient d'hide shield.png,Ancient d'hide shield
Armadyl d'hide shield.png,Armadyl d'hide shield
Bandos d'hide shield.png,Bandos d'hide shield
Steel kiteshield.png,Steel kiteshield
Rune defender (t).png,Rune defender (t)
